post_id,post_text,post_url,post_user_id,post_time,comment_id,comment_url,comment_text,comment_time
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6726569154080007,https://facebook.com/6726569154080007,Mọi người cho em hỏi lí do gì mà mn vote khu vực Hóc Môn vậy ạ? Mong được nghe chia sẻ của Anh/Chị,2022-02-05 06:41:52
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6728131967257059,https://facebook.com/6728131967257059,Hậu môn ( hậu nghĩa hóc môn ),2022-02-05 06:41:54
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6726647997405456,https://facebook.com/6726647997405456,"Khúc Củ Chi Hóc Môn nên gọi tắt là Củ Môn, TP. Thủ Đức giá ảo tung chảo như bên khu Thủ Thiêm nên k thể ra hàng được đâu",2022-02-05 06:41:54
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6751949794875276,https://facebook.com/6751949794875276,năm 2022 sẽ là của Bình Chánh nhé,2022-02-12 06:41:54
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6741215869282002,https://facebook.com/6741215869282002,thủ đức mãi đỉnh. 😁😁,2022-02-12 06:41:55
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6729751197095136,https://facebook.com/6729751197095136,Đầu tư Ven Đô HCM mới x2 x3 x5 đc bạn ơi.,2022-02-05 06:41:56
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6726277930775796,https://facebook.com/6726277930775796,Đầu tư vào thuế và bank .,2022-02-05 06:41:56
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6727245584012364,https://facebook.com/6727245584012364,Ks new world có nhiêu mua hêttttt,2022-02-05 06:41:57
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6727092927360963,https://facebook.com/6727092927360963,m,2022-02-05 06:41:57
6726174710786118,THEO MỌI NGƯỜI NĂM 2022 THỊ TRƯỜNG BĐS TPHCM THÌ KHU VỰC NÀO SẼ LÀ TIỀM NĂNG ĐỂ ĐẦU TƯ NHẤT …,,100001519055568,2022-02-06 17:30:48,6726393507430905,https://facebook.com/6726393507430905,Hoai Anh Trinh,2022-02-05 06:41:57
